sentence	label 
Smith envied his good fortune to Jones.	0
Guinevere has a single bone that is in every corner of the house.	0
Mira condemned the accident on Terry.	0
The horse broke Penny's shin.	1
a The butcher cuts the meat.	1
The builders destroyed the warehouse.	1
What did he look up?	1
If anybody keeps spoiling the children, John keeps.	0
Gilgamesh might not have been reading the cuneiform tablets.	1
Type A: It is on Bill that John relies.	1
It is not true that I have left yet.	1
The hardest that I ever knew a man who said that it had snowed was last January 12th.	0
Tom, Dick, and Harry know it.	1
Mary desired John to go abroad.	0
Bill's reading of Shakespeare satisfied me	1
What did Jean think was likely to have been stolen?	1
Fred gave the ball over Molly.	0
The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.	0
The more John meets geniuses, the angrier he gets.	0
It's the writer that gets you so involved.	1
Carla shoveled the snow from the walk.	1
John slipped in front of everyone who was there.	1
I'll turn the radio down, but I won't up.	0
John whined that he was hungry.	1
I like Mary and she does like Mary too.	0
John to fix the computer.	0
Sally eats the stuff pretty often.	1
Pat was neither recommended for promotion nor under any illusions about what that meant.	1
Max gave the car Levi's shove.	0
It's obvious that Mary, he can't stand.	1
I shipped the package halfway to the Antarctic.	1
Angus did not his homework.	0
Does Joe sing?	1
John needed.	0
This dough shapes a good loaf.	0
Handsome though Dick is fair, Nordic, strong and, I'm still going to marry Herman.	0
The men would have been all working.	1
Mary has never kissed a man who is taller than John is.	1
Stephen tried to be intelligent.	1
Agamemnon seems PRO to be a maniac	0
There were twenty students at the lecture and any student who was there said it was inspiring.	0
She fell into a funk.	1
I am afraid of tigers and fond of clowns without exception.	1
John liked anything that was placed before him.	1
Ellen told a story at Helen.	0
He kicked the ball.	1
The readings of Shakespeare satisfied me	1
Handsome though I know several boys who are, I'm still going to marry Herman.	0
Tom knows it and Dick knows it and Harry knows it.	1
Louise likes not being happy, doesn't she?	1
The dragons simply all died out.	1
Kelly adores French fabrics.	1
I've got to try and find that screw.	1
Vera is knitting in the lounge.	1
It is not true that it was obvious that it would confuse the guards for Herschel to throw a fit.	1
The money which I have hopes that the company will squander amounts to $400,000.	1
The man who I read a statement about is sick.	1
A valuable 13th-century manuscript recently vanished from the library.	1
Mika loved the policeman intensely and Susan did so half heartedly.	1
Pat has become a banker and very conservative.	1
Much of that theory is unfounded.	1
The authorities charged the students of the cheating.	0
The tall, handsome man kicked the ball.	1
I am more angry today than I was yesterday.	1
He is reputed to be a good scholar.	1
Smith inscribed the ring with his name.	1
A wonderful opportunity presented itself yesterday.	1
Bruce loved and Kelly hated phonology class.	1
What it is certain that he was wearing is this hat.	1
There is too likely to be a riot to be a serious discussion of the issues.	0
John saw Stephan	1
These plants may grow as high as 6 feet.	1
It's the second Monday that we get back from Easter holiday.	1
He is afraid of foxes.	1
John gave a present to the student and Mary did the same thing to the teacher.	0
Mary left the room angry.	1
They said that Tom would pay up and he will pay up.	1
A proof was given that the claim that John had lied had been made.	1
I gave Jack Ed's picture of myself.	0
Mercedes gave a test to the students in the lecture hall.	1
Michael asked a question.	1
I saw the Mona Lisa.	1
He's so tall a man that doors are dangerous to him.	1
John drove the car.	1
John is leaving but Mary's not.	1
I made it my objective to settle the matter.	1
I stalked for game in the woods.	0
You may pick any flower except the rose.	1
That anybody ever left at all is not certain.	1
Mary is faster than John is.	1
Kim fond of Lee.	0
John heard that they criticized each other.	0
You should always lock your door, no matter how fancy the hotel.	1
The cat ate the spider.	1
John sent her to Seoul.	1
It is order one first that you should do first.	0
The picture on the wall reminded him of his country.	1
Has not the potion worked	0
Every philosopher is sometimes wrong, but he usually doesn't admit it.	1
The bright green filing cabinet was filled to the brim with the most boring articles from a prestigious journal of linguistics with a moderately large readership.	1
Kim regrets not having seen the movie.	1
Mike quipped she never wore this hat.	0
My morning routine features swim free styles slowly for one hour.	0
Who is that he has met extremely unlikely?	0
The men mined the gold.	1
Agamemnon stopped Jason casting the spell	1
John is prouder of having gone than John expected nobody to believe he would be.	0
Are you always thinking dirty thoughts?	1
She was sent a review copy of the book.	1
Today there is little or no official harassment of lesbians and gays by the national government, although autonomous governments might.	1
The thief chased down the street.	0
The Minister has arrived.	1
Maxine read the children Goodnight Moon, but they fell asleep before she got to the end.	1
George built the houses both.	0
Soon irritating and a bully started shouting again.	0
The book, including all the chapters in the first section, is very interesting.	1
I don't know where to go.	1
John ate a carrot and Mary did so a radish.	0
Pat is a Republican and proud of it.	1
Mickey slips up all the time.	1
Brown equipped a camera next to Jones.	0
Sandy sang a song for me.	1
The horse jumped over the stream.	1
Calvin will not eat the beef waffles.	1
John thinks that Mary left.	1
John makes efforts for himself to be honest.	1
Fluffy is sick, which that no one here realizes is certain.	0
I detest taking a bath.	1
I know which book Max read, and which book Oscar didn't.	1
Fred offered the ball under Molly.	0
The official to whom Smith loaned the money has been indicted.	1
We found out that very lucrative jobs were in jeopardy.	1
The clown's antics amused the children.	1
John gave Tom a book a record.	0
Humans love to eat those pigs.	1
Although in came Aunt Norris, Fanny continued talking.	0
Our paycheck contributed.	0
If anybody is spoiling the children, John is.	1
This should be attended to immediately.	1
Calvin has eaten a peanut.	1
Peter was at the party	1
They ignored the suggestion that Lee lied.	1
Sylvia squirmed.	1
They talked to Kim and to each other.	1
I sent the package all the way around the world.	1
Sally believes that she is brilliant.	1
There's everything Mary had asked for in this store.	1
Tom locked Fido in the garage.	1
He kept company some girls who had been injured in the wreck.	0
He can can go	0
Which girl did he give my binoculars?	0
I have wanted to meet for many years the man who spent so much money planning the assassination of Kennedy.	1
The more books I ask to whom he will give, the more he reads.	0
The money which I will make a proposal for us to squander amounts to $400,000.	1
What his father wants him to be is more of a man.	1
The gardener planted roses in the garden.	1
Snow caps the mountain.	1
Is there anything I can do for you?	1
John perfectly shot the ball.	0
He skated Penny around the rink.	1
They depend on Mary.	1
The ball rolled down the hill.	1
I looked the number up.	1
Heidi thinks that Andy will eat salmon flavored candy bars.	1
The children were neither in their rooms nor on the porch.	1
I'm as much sad as angry.	1
Kim asked me that the monkeys are very fond of chocolates.	0
John can to kick the ball.	0
I am hoping that the weather is lovely today.	1
I noticed him kissing Mary.	1
They gave the bicycle to me.	1
I borrowed and my sister stole large sums of money from the bank.	1
So much did he eat that he got sick.	1
She asked a man who was near the window whether it looked like rain.	1
The grocer ground the coffee beans to a fine powder.	1
It would be inconvenience for you to leave so soon.	1
John has sung a song and Mary has too.	1
Pat has become crazy, and Chris in good spirits.	0
John deposited some money in the checking account on Friday and Mary did the same thing on Monday.	1
Mary, who John asked for help, thinks he is foolish.	1
He might could go	1
John is eager to examine.	0
I know two men behind myself.	0
At Trade, Anson danced extremely frantically	1
Hera tried to appear to be happy.	1
Chris hacked the computer apart with an axe.	1
We persuaded the dentist to examine ourselves.	0
Frank Churchill is crossing the street.	1
The amoeba coughed and then it fainted.	1
The cup was broken by Louise.	1
They are afraid people.	0
I saw more of the man than you did.	1
Brian was wiping the counter.	1
Absolutely any pilot could be flying this plane.	1
What did he get the impression that the problem really was?	1
Lee solved the puzzle how Kim solved it.	0
Paula swatted the cloth on the fly.	0
He's more reliable a man.	0
Which god the statue?	0
The computer will calculate the value of the variable.	1
Eat dirt!	1
Who do you guess will be here?	1
The fence straddles the sidewalk.	1
I know which guys you've dated, but I don't know which guys you haven't.	1
Which ode did which poet write?	1
An owl hunts mice.	1
Fluffy is sick, as not everybody knows.	1
Who do you believe invited Sara?	1
Who will be offended if we don't invite which philosopher?	1
I shipped the package all the way around the world.	1
The school board leader asked a question of the students.	1
Ayala sent her cousin the diamond necklace.	1
Paula swatted the cloth into the fly.	0
John must do not have eaten.	0
John stayed him busy.	0
He does may leave here.	0
Which language do you want to hire someone who speaks?	0
The squirrel ran right up the tree.	1
Every woman standing under that tree, whoever she may be, is Mary's friend.	0
The cup filled the water high.	0
It seemed to rain.	1
This book is easy to read.	1
John is the kind of the fool that I told you about.	1
A large ship appeared on the horizon.	1
My favorite language is a language with simple morphology and complicated syntax.	1
I did, as Bill had thought, go to the store.	1
He threw the letter into the wastebasket.	1
There exist few solutions which are cost-effective.	1
The drunk and the lamppost hugged.	0
Paul exhaled.	1
I lent the book most of the way to Tony.	0
Ellen talked with Helen about the problem.	1
The window broke from the force of the wind.	1
Ron's likely to be on the Web, isn't he?	1
Many fish are in the sea.	1
The one who broke the window was Mr. Kim.	1
I feel it is unfortunate that television is so vulgar these days.	1
Fiona has not eaten the sauteed candy canes.	1
These documents Elizabeth is checking at this very moment.	1
John heard their criticism of each other.	1
That informers they never use is claimed by the CIA.	0
Who do you think saw you?	1
John seems to fix the computer.	1
The knowledge of the problem is quite thorough.	1
John tries to be honest.	1
Calvin will strike himself and Otto will strike himself too.	1
The man chuckles	1
It was then that he felt a sharp pain.	1
He will indeed not endorse the treaty.	0
A solution immediately presented itself to him.	1
It is obvious to everybody that Tasha likes Misha.	1
Mark's single mindedness terrified me.	1
I put on the table.	0
Paula swatted the fly.	1
Paul had an affair	1
I brought a razor with which to shave myself.	1
The child and her mother clung.	0
The monkeys approved of their leader.	1
I would prefer it for there to be no talking.	1
Tom drives as that man does.	1
He kicked him	1
The bird devours the worm.	1
Bill not destroyed the world.	0
Italy and France touch.	1
The music lent a festive air to the party.	1
They lent me with a bicycle.	0
I don't remember what I said all?	1
John will kicked the ball.	0
Learning to use a language freely and fully is a lengthy and arduous process.	1
They seemed all to like John.	1
Gilgamesh should seek Ishtar	1
Paula swatted the cloth against the fly.	0
Only to Glasgow would he go by train.	1
They caught her without a license is what happened.	0
Several people seem sick.	1
The secretary transcribed the record with the speech.	0
Bill cried himself to sleep.	1
He repeated his claim that the people backed his action.	1
Tom ordered bacon, and Dick ordered lettuce, and Harry ordered tomatoes.	1
Sasha is gobbling down dumplings faster than I can reheat them.	1
I wonder has Mary worked for Microsoft.	1
I noticed his car in the driveway last night, your friend from Boston.	1
Paul had two affairs	1
I lifted the book onto the out of the box.	1
Know yourself!	1
Gilgamesh might have not been reading the cuneiform tablets.	0
Kim has wondered that Gary stayed in the room.	0
I read some book.	0
Lucy Barnes recounted a story to remember because remember Holly had recounted a story to.	0
Usually, any lion is majestic.	0
Italy touches France.	1
The sheriff denied that gangsters had bribed him.	1
Tessa sprained.	0
Pictures of himself always disturb Milo.	1
The man I think that chased Fido returned.	0
Not reading of Shakespeare satisfied me	0
Bartlett and danced Toni.	0
It was believed that the earth was round.	1
Will Sally, after John comes home, take a shower?	1
Kim must baked a cake.	0
I saw him leaving the main building.	1
Some tourists visited all the museums.	1
I saw the brilliant student.	1
The students drank too much beer last night.	1
I mailed the sweater to Mary.	1
Be very clever.	1
Nina got Bill elected to the committee.	1
I think she is pregnant	1
Any man who saw the fly in the food didn't eat dinner.	1
Martha often thinks Kim hates phonology.	1
Paula hit at the fence.	1
Jerry wouldn't read a book by Babel, but Meryl has done so and it was pretty good.	1
That John coughed bothers me.	1
Fruit hit the roof from the tree.	1
Bill left when that no one else was awake is certain.	0
Jack will have a hole in his pocket.	1
Harry got to be more of a celebrity.	1
If you give him enough opportunity, every senator will succumb to corruption.	1
Felicia sent the box out of the storeroom.	0
That Bill loves chocolate is likely.	1
She has enough of a problem as it is.	1
I read three his books.	0
Sam gave the cloak to Lee and the magic chalice to Matthew.	1
The more people that you give beer to, the more people get sick.	1
I admired him for his honesty.	1
I believe it to be her father who was primarily responsible.	1
Aphrodite frees animals	1
So quickly did the vampire move, that we barely saw him.	1
He talked to a girl about swimming.	1
John stopped canning to sign in tune.	0
Me, I like beer.	1
Robert knows it is essential that he is well behaved.	1
Where did you give the ball?	0
What did you get all for Xmas?	1
The box completely contains the ball.	1
This book reads well.	1
Memo liked lasagna.	1
The magician appeared a dove from his sleeve.	0
Aphrodite freed animals	1
I am not certain about whether he will go or not.	1
Ida hunted deer in the woods.	1
When Bill smokes, much more does Susan hate him.	0
Mary has more than two friends.	1
I was wondering in which pocket it was that Kim had hidden the jewels.	1
Why haven't any books been returned?	1
I won't ask you to believe that he tried to force me to give her some money.	1
I made Kim angry.	1
The rail holds easily.	0
The day when Jim got fired was a sad day for everyone.	1
They caused him to become angry by making him.	0
Doug blew up the building.	1
He looks more formidable than he is.	1
Terry touched the cat.	1
Because Dr Jones ate too much rich food didn't he, he died of apoplexy.	0
Ron failed biology, unfortunately	1
I want it to remain a secret that Bill left.	1
Alyssa kept her syntax book.	1
Mary has never kissed as tall a man as John.	1
Maxwell isn't half the doctor that people around here believe that his father was.	1
A statue of Jefferson stood on the comer.	1
The Greeks arrived all.	0
Larry hunted all the foxes.	1
What did Bill cook supper and wash?	0
The horse was ridden.	1
I differed this flyer from that flyer.	0
How do you wonder whether John said that Mary solved the problem?	0
That John coughs loves Bill.	0
Erin never keeps her pencils in the correct drawer.	1
The man who I think that chased Fido returned.	0
I expect to double my profits more than.	0
This Government has been more transparent in the way they have dealt with public finances than any previous government.	1
So intelligent a dog did you buy that everyone gasped.	1
What I believe that he was wearing is this hat.	1
I shaved.	1
Would more accountants make any difference to my tax bill?	1
Which goddess might help us?	1
Felicia threw the ball out the window.	1
Mary sang for anyone who wanted to hear her.	1
What the force of the wind did to the window was break it.	1
Have the kids arrived safely?	1
Carla mopped the floor under the furniture.	1
I have some voice exercises to play the guitar and sing.	0
I have half a dozen too many of these marbles.	1
That the golden thread would show Jason his path through the labyrinth was	1
Lilly decided eating cabbage, to be.	0
Sue said something although she was the most likely not to say anything.	1
Dick's claim that semantics is generative is preposterous.	1
Seven pine trees are behind that barn.	1
the one of poems with a red cover takes a very long time to read.	0
Paul yawned at Mary.	0
Their expectations will be kept up with.	1
All the foxes were hunted by Larry.	1
John has been driving the car.	1
When the executioner arrived, Poseidon was asleep	1
We consider the men all totally crazy.	1
The cook boned the fish.	1
Sylvia is slapping Jeff upside the head in martial arts class.	1
We gave a fresh coat of paint to the house.	1
Susan whispered to Rachel.	1
The phone company billed me $10 for that phone call.	1
The cook boned the fish of its backbone.	0
We love their.	0
I lifted the table with the books.	0
My uncle doesn't have a spouse but your aunt does and he is lying on the floor.	1
They play unusual music, and I listen to unusual music.	1
I believed these students all to like John.	1
Which boy's guardian's employer did we elect president?.	1
John sells books, Mary buys records and Bill V newspapers.	1
I can well imagine if he eats more, him getting fat.	0
John will enthusiastically have been eating cake.	1
The rolling stone avoided the river.	1
Susan whispered the news to Rachel.	1
Bill's reading Shakespeare and Maureen's singing Schubert satisfy me	1
The boy gave the book.	0
the person whom John gave the book to left.	1
I screamed at some children watching me.	1
They went to the theater in London.	1
The children will have been being entertained.	1
The computer is playing six simultaneous games of three dimensional chess.	1
I'm more sad than angry.	1
Which books did Robin read and hate?	1
The book valued $200.	0
The monkey scratched a boy on Monday.	1
Mary has never kissed as tall a man as John is.	0
The cat was having eaten.	0
That the clown had a red nose amused the children.	1
Unicorns don't exist.	1
Bob is too thin for me to be able to squeeze into his jacket.	1
The coat which a girl came in who had worn was torn.	0
These shears clip well.	1
He's a bit of a gossip.	1
Michael abandoned an old friend at Mardi Gras	1
John is ready to please.	1
The cat tries to be out of the bag.	1
to hurt his friends is stupid.	1
After ten soldiers had left, seven more ones came in.	0
We keep those censored copies of the book hidden to protect the sensibilities of the prudish.	1
All the men surrounded the fort.	1
Bill did not destroy the world.	1
The intrepid pirate and the fearful captain's mate sunk the galleon.	1
After ten ones had left, seven more soldiers came in.	0
Agamemnon seemed that left.	0
I regret it exceedingly that she was lying.	1
Why don't we make some French fries?	1
much armchair is needed.	0
How intelligent do you consider John?	1
Robert thinks that student should eat asparagus.	1
John would prefer for the children to finish the oatmeal.	1
John is eager to find.	0
This flyer differs from that flyer.	1
I want Jean to dance.	1
I wonder who Bill saw and liked Mary.	0
The dragons were slain all.	0
Almost any lawyer could answer that question.	1
They hit the ball.	1
Every photo of Max and sketch by his students appeared in the magazine.	1
You are not fitted by the coat.	0
This girl in the red coat one will put a picture of Bill on your desk before tomorrow.	0
I went to the movies to not pick the shirts up.	0
On his finger sparkled a magnificent diamond.	1
You must not simply not work.	1
for John to hurt his friends is stupid.	1
Over the fort there fluttered a large flag.	1
We love them.	1
He bought these flowers for Aaron.	1
I'm going to write to the Game Warden if more than one deer my neighbor brings back.	0
Sue was given the book by Bill.	1
They represented Mary seriously as a genuine linguist.	1
Every student in Mary's class, by virtue of being in her class, is working on polarity items.	1
On whom does Dana believe Chris knows Sandy trusts?	0
Mary thinks whether Bill will come.	0
Students enter high-level educational institutions might face many problems relating to study habits.	1
Heidi investigated to eat the cauliflower.	0
John was bitten by an advertising executive.	1
Mickey looked up the reference.	1
Tom played it under the table.	1
If three relatives of mine die, I will inherit a house.	1
I gave Jack a picture of myself.	1
It would be possible for the president not to approve the bill.	1
Seems John to fix the computer.	0
I persuaded there to be a problem.	0
The children are seen in the yard.	1
There appeared a ship on the horizon.	1
Michelle became an architect.	1
We are knowing this theory.	0
Mary is more than six feet tall.	1
Andy promised us to go.	0
The assignment completed.	0
Donny is likely that left.	0
Who did Athena introduce to whom?	1
We elected the man who he had brought with him president.	0
Tom will not leave.	1
Mary sang a song, but Lee never did.	1
It is to the best students that he gives this book.	1
That John was ill was widely believed.	1
I will eat spaghetti on Sunday with Marco.	1
You should avoid to travel in the rush hour.	0
She may have thawed the roast and should have thawed the roast.	1
Confiscate any liquor.	1
The Ethel was sitting at her desk.	0
Tony broke the wall with the cup.	0
The museum displayed no painting by Miro or drawing by Klee.	1
The building is tall and wide.	1
It was in the park last night that the policeman met several young students.	0
She writes more clearly than she speaks.	1
Into the room sauntered Jeeves.	1
John studied hard to pass the exam.	1
You may pick any flower, but leave a few for Mary.	1
No spy betrayed himself.	1
Pat persuaded Leslie to be aggressive.	1
The harder it rains, how much faster a flow that do you see in the river?	0
Linda winked her nose.	0
The mouse nibbled at the cheese.	1
The hat which I believed the claim that Otto was wearing is red.	0
He will could go	0
We proclaimed John to the public to be a hero.	1
Carmen bought a dress at Bloomingdale's.	1
We all thought him to be unhappy	1
Jim was enthusiastically chopping logs.	1
I wonder what John kissed.	1
a stone blocked the road.	1
What I said was that we would go.	1
The more carefully he knows a man that worded the letter the safer he'll be.	0
Tom tends for Mary to avoid confrontations.	0
I wonder if on which shelve John will put the book.	0
The professor talked us into a stupor.	1
This truck spread less salt than that one.	1
What did Bill claim that he read?	1
They drank the pub.	0
Mary is happy with her work, and John is with his children.	1
Sally might be pregnant, and I believe that Sheila definitely is pregnant.	1
John, because he's such a nice guy, would like that.	1
Homer recited the poem about Achilles?	1
I broke the twig off of the branch.	1
The moral destruction of the president was certainly not helpful.	1
John would like that because he's such a nice guy.	1
The man I think chased Fido returned.	1
We need more intelligent leaders.	1
Sarah sang.	1
The intense cold killed the climbers.	1
He might do leave.	0
Sally started running down the street, but only after José started.	0
More caviar than mush is eaten by Jack.	1
This is my ultimate goal.	1
Bill cooked the rice.	1
Nora sent the book from Paris to London.	1
How do you think John bought what?	1
John couldn't leave the party.	1
The men would not have been all working.	1
Some who read anything passed.	0
This is the kind of person who I doubt that under normal circumstances would have anything to do with such a scheme.	1
They wouldn't leave soon.	1
Targets can be observed at any angle.	1
When never had Sir Thomas been so offended, Mr Yates left.	0
How suspicious was Mary?	1
Dorothy needs her for her skills.	1
Harry will be in the Marines next year and Herman was drafted last night.	1
Which packages which are to be mailed tomorrow is it possible that Sam didn't pick up until it had stopped raining?	1
The sheep cries	1
They have no car.	1
I want Bradley that left.	0
Because into the room came Aunt Norris, Fanny stopped talking.	0
Arthur tried to bake a cake.	1
Maxwell isn't the doctor that his father was.	1
The phone company billed me $10.	1
We expect the dentist to examine ourselves.	0
John may leave.	1
John's quilt's upper right-hand corner has a hole.	0
the shit seems to have hit the fan.	1
Steve tossed the ball into the garden.	1
Jane isn't sure whether the students keep the books.	1
Paula swatted the cloth through the fly.	0
What exploded when?	1
Max boasted that the queen invited Lucie and himself for a drink.	1
Anybody who ever swears at me better watch his step.	1
This girl in the red coat will put a picture of Bill on your desk.	1
The President thanked every soldier who had fought in the.	1
May she live forever!	1
The shooting of the prisoners shocked me.	1
Kim was dancing, and Sandy was, too.	1
John seems to sleep all day.	1
Fluffy is sick, as nobody knows.	0
Martha climbed up the mountain.	1
That him won the race could surprise them.	0
The table, I put Kim on which supported the book.	0
What did Herb start to play only after he drank?	0
Very heavy, this parcel!	1
It appears to be true that Harry likes girls.	1
A man who saw the fly in the food didn't eat dinner.	1
John is prouder of having gone than people who don't know him would expect me to believe he would be.	1
Where did you disappear before you hid the gold?	0
It was for $1000 that Ann bought a first edition of Richard III.	1
John tried to make Sam let George ask Bill to keep delivering the mail.	1
Calvin will have been eating.	1
John is a decidedly too tall man.	0
The line is drying with a lot of clothes.	0
We contributed her our paycheck.	0
We ate at a really fancy restaurant.	1
My mother hated myself	0
Smith was annealing the rings.	1
It will rain tomorrow.	1
The woman believed that the man was ill who was here.	1
Henry wanted to have married Fanny before Edmund returned.	1
Pat expected Leslie to be aggressive.	1
Cohen proved the independence of the continuum hypothesis.	1
Plays and ballets alternate together.	0
Every man who has any matches is happy. happy.	1
Webster touched a sword after Henry had done it.	1
It seems to bother Kim that they resigned.	1
They think that she can do it.	1
It is tough to teach syntax.	1
Smith threw the ball to the first baseman.	1
Doug cleared the table.	1
It was the man that bought the articles from him.	1
They are investigating all people owning parakeets.	1
The house has been lived in by several famous personages.	1
John promised Mary that he would leave.	1
I know how fast you ran.	1
Fanny regretted being talking to Mary.	0
John is not more reliable a fellow than Bill.	0
Smith inscribed his name under the picture.	1
He was kicked by John.	1
I saw the one with long hair.	1
I loved intensely the policeman with all my heart.	0
That's something I would have paid twice for.	1
I'm sorry that anybody hates me.	1
The longer he has to wait, the angrier John gets.	1
Although no one else believes it, Harry believes that Sally is innocent.	1
Who did you say my talking to would bother Hilary?	0
Once Janet left, Fred became far crazier.	1
Eleanor blamed Marianne's unhappiness on Willoughby.	1
Almost every cat likes mice, for example Felix doesn't.	1
I shaped the dough into a loaf.	1
I arranged for to see her.	0
Mary thinks that John said that Susan likes pictures of himself?	0
the man standing over there's the hat impressed me greatly.	0
I've never seen a taller man than my mother.	1
He does not finish.	1
I'm sure we got any tickets!	0
She made so much better a reply.	1
Gilgamesh fears death and Achilles does as well	1
Who did Maria say that she'd kiss and kick?	1
I can tell you when, but I can't tell you why, he left me.	1
Crystal vases break easily.	1
I insist on seeing through all the students who had started out the term in my class.	0
The cup filled of water.	0
I am being whipped	1
Amanda carried at the package to New York.	0
The party lasted till midnight.	1
Tabs were kept on the suspect.	1
Jim will go if he feels good.	1
I believe that the problem is not easy to be obvious.	0
You will Bob believe.	0
John put any carrot from his garden in the salad.	1
John persuaded Mary to kiss him.	1
It rained	1
John expected to win.	1
The hiker will reach the top of the mountain for an hour.	0
There arrived by Medea.	0
Mary and kissed an old friend who comes from Miami.	0
Jessica sprayed water at me.	1
Alison pierced the cloth with a needle.	1
I watched the Indians who the man who had been my advisor in my freshman year had advised me to study when I got to Utah talk.	0
Maxwell isn't half the doctor that I'm certain that he would be if he studied.	1
The police read the detainees their rights, but not a single one was paying attention.	1
John demanded that she stop phoning him.	1
Cynthia gobbled on the pizza .	0
Mary judged there.	0
Ellen told Helen a story.	1
Having read of Shakespeare satisfied me	0
Who did he believe the claim that he had never met?	0
A dog lay in the comer.	1
A pregnant woman hit a girl.	1
Fiona may be here by 5 o'clock.	1
Doug removed at the scratches from the tabletop.	0
I throw you a lifeline and you giggle.	1
That barn has seven pine trees behind it.	1
Mary loves him.	1
I gave my brother a birthday present.	1
I did not understand.	1
French fabrics adore easily.	0
Ellen told a story.	1
John bought any picture of Queen Elizabeth.	0
They read the book.	1
John said Martha sang the aria with gusto.	1
He was hoping for too much.	1
John continues to avoid the conflict.	1
He walked right the wall.	0
$50 won't even purchase a dress at Bloomingdale's.	1
We cannot put up with the noise anymore.	1
Mary noticed John's excessive appreciation of herself.	0
The change pocketed.	0
The kangaroo hopped over the truck.	1
Kim put the book in the box.	1
New York was slept in.	0
I know I should go to the dentist's, but I just don't want to.	1
The later it gets, the more people everyone who likes pays attention to.	0
I want to kiss pigs	1
John put his gold safe.	0
Lucy's analysis was the most successful	1
She bought John's book.	1
They are readable of the paper.	0
Tom was no more reliable than a grasshopper.	1
Pat was believed to have been examined by the dentist.	1
The city destroyed.	0
Bill sold Tom a car.	1
The concert started when the bell rang.	1
Susan whispered a few words.	1
I asked who saw what.	1
The potion boiled over	1
We're dancing the night away.	1
The harder that it rains, how much faster a flow do you see in the river?	1
Susan doesn't eat enough her vegetables.	0
All of his wealth come from real estate investments.	1
The hardest that it is believed that it has ever snowed here was last January 12th.	1
Who was that Plato loved obvious?	0
This needs mending.	1
Nora sent the book to London.	1
Handsome though they told me that Tom is, I still won't date him.	0
It was claimed that by everyone the poison was neutralised	0
You have presented so elegant a solution that we can only admire it.	1
One bomb didn't guide and crashed.	1
John is wanted to win.	0
The fence hits easily.	0
The happy, happy, happy, happy, happy, happy man sang a song.	1
The streets gushed with water.	1
I don't know what to do.	1
John seems to be a fountain in the park.	0
Both the twins might have been at the party.	1
Would each the men have been working?	0
Tonight, what Bob cooked yesterday still tastes good, so tonight it will be eaten up.	1
The oak developed out of a maple.	1
The car was driven by Alison.	1
The piano played a song.	1
Mary doesn't have as many too many too many as Jane.	1
The book costs $10.	1
Richard's gift of the helicopter to the hospital and of the bus to the school.	1
John stayed Kim behind the garage.	0
The prisoner must have been being interrogated when the supervisor walked into the room and saw what was going on and put a stop to it.	1
I whipped the eggs into a froth.	1
The socks are ready for you to put on.	1
Joe warned the class that the exam would be difficult.	1
I reported him having kissed Mary.	1
Didn't Sue pass her exam?	1
How easy to tease John it is!	0
Sally believes that herself is brilliant.	0
It was the policeman that met several young students in the park last night.	1
John received a book.	1
Monkeys are eager to leave.	1
What happened was they went home.	1
As much of a man is here.	0
I want Jean.	1
Water poured onto the plants.	1
Almost any pilot could be flying this plane.	1
I wonder whom Sandy loves.	1
If you give any senator enough opportunity, he will succumb to corruption.	1
Mary appreciates John and himself.	0
Mary picked any of the flowers.	0
We investigated bombs in the area.	0
The with milk coffee is hot.	0
The ship sank beneath the waves.	1
How brave he is!	1
John said Mary went to the store quickly.	1
John made Kim a great doll.	1
I wondered who had Medea poisoned.	0
The king kept put his gold under the bathtub.	0
Fred was believed to have wanted to try to dance.	1
No reading Shakespeare satisfied me	0
In preparation for the return fixture this team has trained more efficiently than they had in recent months.	1
Jean tried to behave.	1
The day snowed	0
John stayed behind the counter.	1
We didn't particularly like, but nevertheless ate, the fish raw.	1
They, they can't stand each other.	0
My pastor says I ate too much cake.	1
John destroyed the house.	1
A poodle gives live birth.	1
What the stone did to the wall was hit it.	0
The cake was been eating.	0
There are several people sick.	1
I praised Mary.	1
Every cat doesn't like mice, for example Felix doesn't.	1
Have you seen Mary? I have vP seen Mary	1
Mary is often running the marathon.	1
little equipment is available.	1
John immediately learned French.	1
The more obnoxious Fred, the less attention you should pay to him.	0
I broke the twig off the branch.	1
Cheryl stood the shelf with books.	0
It came to John that it was so.	1
They lent a bicycle to me.	1
Ida hunted for deer in the woods.	1
I made John easy to get along with.	1
She hit herself with a hammer.	1
You didn't leave, left you?	0
He's a man to whom as for liberty, we could never grant it.	0
Sandra beamed.	1
That the Dalai Lama claims Tibet independence disturbs the Chinese government.	1
The pig grunt	0
A cat jumped onto the table.	1
I blew up it.	0
The more you eat, the less you want.	1
The tall, kind, handsome man kicked the ball.	1
A fire raged all through the mountains.	1
Margaret cut the string.	1
Handsome though I believe the claim that Tom is, I still won't date him.	0
The shock touched the explosion off.	1
Objection was taken to the length of our skirts.	1
The best writer was considered Andrew.	0
I admired the honesty in him.	1
Sonatas are easy to play on this violin.	1
You married no one.	1
Mary sang a song, but Lee did never.	0
The paper is readable.	1
He was arrested for being drunk.	1
The man eager to start the meeting is John's sister.	1
Lucy seems to have been mugged.	1
Julie and Fraser ate those delicious pies in Julie's back garden.	1
I'm as sad as angry.	0
